x_easting_m,y_northing_m,z_elevation_m
566652.9849314229,4190602.6883474477,123.86004056795132
566652.8956882609,4190602.7066704533,123.85496957403652
566652.8066340543,4190602.7017148356,123.8498985801217
566652.7173565375,4190602.724270322,123.84482758620689
566652.6281820872,4190602.7341283765,123.83975659229209
566652.5391794137,4190602.7228240445,123.83468559837728
566652.4498847203,4190602.747495773,123.82961460446248
566652.3607789811,4190602.7488888754,123.82454361054766
566652.2716045293,4190602.7587469346,123.81947261663286
566652.1823441924,4190602.779186187,123.81440162271805
566652.0932040985,4190602.7848117705,123.80933062880325
566652.0040296499,4190602.7946698316,123.80425963488844
566651.9149410888,4190602.7939466992,123.79918864097363
566651.8257322855,4190602.8080372415,123.79411764705883
566651.7364891277,4190602.826360261,123.78904665314401
566651.6473662122,4190602.8298696103,123.78397565922921
566651.5581574099,4190602.8439601534,123.7789046653144
566651.4690344946,4190602.847469504,123.7738336713996
566651.3798085132,4190602.8636762896,123.76876267748479
566651.2905653572,4190602.881999314,123.76369168356997
566651.2014767971,4190602.88127619,123.75862068965517
566651.1122508189,4190602.8974829777,123.75354969574036
566651.0230763729,4190602.9073410495,123.74847870182556
566650.9338503953,4190602.923547839,123.74340770791075
566650.8446415954,4190602.9376383903,123.73833671399595
566650.7554156185,4190602.953845182,123.73326572008114
566650.6662927051,4190602.957354541,123.72819472616632
566650.5771182603,4190602.9672126193,123.72312373225152
566650.4878579301,4190602.9876518897,123.71805273833671
566650.3985460692,4190603.014439879,123.71298174442191
566650.3094746879,4190603.011600527,123.7079107505071
566650.2202830671,4190603.023574846,123.7028397565923
566650.1311429777,4190603.02920045,123.69776876267748
566650.0417795875,4190603.0623371587,123.69269776876268
566649.9525879655,4190603.074311481,123.68762677484787
566649.8633963461,4190603.086285805,123.68255578093306
566649.774170373,4190603.102492606,123.67748478701826
566649.6850302849,4190603.1081182156,123.67241379310344
566649.5957356049,4190603.1327899746,123.66734279918865
566649.5065268099,4190603.1468805415,123.66227180527383
566649.4172664846,4190603.167319823,123.65720081135903
566649.3280920439,4190603.177177915,123.65212981744422
566649.2388832497,4190603.191268484,123.6470588235294
566649.149605749,4190603.2138240086,123.6419878296146
566649.0604141301,4190603.2257983405,123.6369168356998
566648.9712225138,4190603.2377726734,123.631845841785
566648.882013721,4190603.2518632477,123.62677484787018
566648.792787752,4190603.268070059,123.62170385395538
566648.7034930766,4190603.2927418277,123.61663286004057
566648.6141984018,4190603.3174135974,123.61156186612575
566648.5250926703,4190603.3188067414,123.60649087221095
566648.4357636432,4190603.34771099,123.60141987829614
566648.346503323,4190603.368150285,123.59634888438134
566648.2572430032,4190603.388589581,123.59127789046653
566648.1681029174,4190603.3942152057,123.58620689655173
566648.0788082455,4190603.418886982,123.58113590263692
566647.9895307506,4190603.441442519,123.57606490872212
566647.9003391383,4190603.453416864,123.5709939148073
566647.8110616443,4190603.4759724033,123.56592292089249
566647.7218185036,4190603.494295465,123.56085192697769
566647.6326440689,4190603.5041535744,123.55578093306288
566647.5434009288,4190603.5224766396,123.55070993914808
566647.454037555,4190603.5556133757,123.54563894523326
566647.3647772397,4190603.5760526825,123.54056795131847
566647.2754997485,4190603.5986082265,123.53549695740365
566647.1862909631,4190603.6126988186,123.53042596348884
566647.0969962965,4190603.637370604,123.52535496957404
566647.0077875118,4190603.6514611966,123.52028397565923
566646.9184928464,4190603.6761329845,123.51521298174443
566646.8292153577,4190603.698688534,123.51014198782961
566646.7399378673,4190603.7212440856,123.50507099391481
566646.6506775557,4190603.7416833984,123.5
566646.5614344208,4190603.7600064734,123.49492900608519
566646.4721054058,4190603.788910745,123.48985801217039
566646.3828279196,4190603.8114662995,123.48478701825557
566646.293584786,4190603.8297893773,123.47971602434077
566646.2042385967,4190603.860809889,123.47464503042596
566646.1149439362,4190603.885481685,123.46957403651116
566646.02571798,4190603.901688528,123.46450304259635
566645.9363889686,4190603.9305928038,123.45943204868153
566645.847180187,4190603.9446834093,123.45436105476674
566645.7578340009,4190603.9757039254,123.44929006085192
566645.6686252223,4190603.989794533,123.44421906693712
566645.579313389,4190604.0165825738,123.43914807302231
566645.4900702597,4190604.034905662,123.43407707910751
566645.4007584275,4190604.0616937033,123.4290060851927
566645.3114122442,4190604.0927142254,123.42393509127788
566645.2221004133,4190604.11950227,123.41886409736308
566645.1328229344,4190604.1420578384,123.41379310344827
566645.0435111047,4190604.1688458854,123.40872210953347
566644.9543023274,4190604.1829365008,123.40365111561866
566644.8649904986,4190604.2097245497,123.39858012170386
566644.775609968,4190604.2449775543,123.39350912778905
566644.6862981406,4190604.2717656046,123.38843813387425
566644.5970206648,4190604.294321179,123.38336713995943
566644.507691663,4190604.3232254707,123.37829614604462
566644.418276784,4190604.3627109556,123.37322515212982
566644.3291367145,4190604.3683366226,123.368154158215
566644.2397561878,4190604.4035896338,123.3630831643002
566644.1505817679,4190604.4134477805,123.3580121703854
566644.0610981898,4190604.4613982253,123.3529411764706
566643.9717863671,4190604.488186283,123.34787018255578
566643.8825088961,4190604.510741865,123.34279918864097
